FESTIVAL BOB'ARTS;Centre-Val de Loire;Musiques actuelles;36;Annuelle;;DD026;Le Blanc;6;24/08/2019;25/08/2019;01/01/2013;36300;36018;46.6346200347;1.10013221164;7.0;0.0;8.0;;24/08/2019;25/08/2019;;;
Festival du livre de jeunesse de Rouen;Normandie;Livre et littérature;76;Annuelle;www.festival-livre-rouen.fr;IK011;ROUEN;36;29/11/2019;01/12/2019;01/01/1983;76000;76540;49.4413460103;1.09256784278;37.0;0.0;11.0;;29/11/2019;01/12/2019;;;
Festival VO/VF, la parole aux traducteurs;Île-de-France;Livre et littérature;91;Annuelle;https://www.festivalvo-vf.com/;HK009;Gif Sur Yvette;6;04/10/2019;06/10/2019;01/01/2013;91190;91272;48.6988273634;2.12788365005;7.0;0.0;10.0;;04/10/2019;06/10/2019;;;
Salon de la bande dessinée SoBD;Île-de-France;Livre et littérature;75;Annuelle;www.sobd.fr;HK026;PARIS;8;06/12/2019;08/12/2019;01/01/2011;75001;75101;48.8626304852;2.33629344655;9.0;0.0;12.0;;06/12/2019;08/12/2019;;;
LE CHEZ OIM FEST;Hauts-de-France;Musiques actuelles;62;Annuelle;www.chezoimfest.fr;GD081;NOYELLES SOUS BELLONNE;5;;;01/01/2014;62490;62627;50.3091545259;3.02186108116;6.0;0.0;6.0;Juin;02/06/2018;03/06/2018;;;
Art contemporain en milieu rural;Grand Est;Arts plastiques et visuels;54;Annuelle;https://www.galerie-tem.fr/;FI009;GOVILLER;26;;;01/01/1993;54330;54235;48.5051745323;6.01397377452;27.0;0.0;6.0;Juin;03/06/2018;07/10/2018;;;
LES AGITES DU BOCAL A NIVILLAC;Bretagne;Pluridisciplinaire Spectacle vivant;56;;;CB001;Nivillac;;;;;56130;56147;47.5405533272;-2.24923467173;;2020.0;6.0;Juin;08/06/2018;10/06/2018;;;
MUSIQUES METISSES A COLMAR;Grand Est;Musiques actuelles;68;Annuelle;http://lezard.org/category/festival-musiques-metisses/;FD105;COLMAR;22;;;01/01/1997;68000;68066;48.1099405789;7.38468690323;23.0;0.0;5.0;Mai;18/05/2018;20/05/2018;;;
Tendance Clown;Provence-Alpes-Côte d'Azur;Cirque et Arts de la rue;13;Annuelle;http://www.dakiling.com;MM008;MARSEILLE;13;;;01/01/2006;13001;13201;43.2999009436;5.38227869795;14.0;0.0;5.0;Mai;;;;;
FESTIVAL BERRY LAIT;Centre-Val de Loire;Musiques actuelles;36;Annuelle;http://festival-berry-lait.fr/;DD023;CHATEAUROUX;5;;;01/01/2014;36000;36044;46.8029617828;1.69399812001;6.0;0.0;5.0;Mai;;;;;
DIXIE FOLIES;Nouvelle-Aquitaine;Musiques actuelles;17;;www.dixie-folies.com;JD025;LA ROCHELLE;;;;;17000;17300;46.1620643972;-1.17465702836;;2020.0;5.0;Mai;;;;;
FACS;Nouvelle-Aquitaine;Musiques actuelles;79;;;JD153;BRESSUIRE;;;;;79300;79049;46.8545755683;-0.479375922286;;2020.0;5.0;Mai;;;;;
RESPIRE JAZZ FESTIVAL;Nouvelle-Aquitaine;Musiques actuelles;16;Annuelle;www.respirejazzfestival.com;JD015;Montmoreau;6;;;01/01/2013;16190;16230;45.4225777872;0.127349505692;7.0;0.0;6.0;Juin;28/06/2018;01/07/2018;;;
Festival Maghreb, si loin, si proche - Aude/Pyrénées Orientales;Occitanie;Cinéma et audiovisuel;66;;https://www.cinemaginaire.org/festivals/maghreb-si-loin-si-proche;KJ003;ARGELES SUR MER;;;;01/01/1998;66700;66008;42.5352193463;3.02429862885;22.0;0.0;1.0;Janvier;;;;;
FAITES L'EUROPE / FETE DE L'EUROPE;Île-de-France;Pluridisciplinaire Musique;75;Annuelle;;HC001;PARIS;13;;;01/01/2006;75001;75101;48.8626304852;2.33629344655;14.0;0.0;5.0;Mai;12/05/2018;12/05/2018;;;
LA DUBERIE;Île-de-France;Musiques actuelles;75;;;HD078;PARIS;;;;;75001;75101;48.8626304852;2.33629344655;;2020.0;5.0;Mai;11/05/2018;12/05/2018;;;
CLARI'JAZZ FESTIVAL;Occitanie;Musiques actuelles;31;Annuelle;www.clarijazz.com;KD072;MARIGNAC LASCLARES;7;;;01/01/2012;31430;31317;43.3049878647;1.10662037582;8.0;0.0;6.0;Juin;08/06/2018;09/06/2018;;;
Coulée Douce;Île-de-France;Cirque et Arts de la rue;75;Annuelle;https://progeniture.fr/coulee-douce/;HM004;PARIS;15;;;01/01/2004;75001;75101;48.8626304852;2.33629344655;16.0;0.0;6.0;Juin;09/06/2018;10/06/2018;;;
Archifête;Normandie;Cirque et Arts de la rue;76;;https://www.ville-petit-couronne.fr/Services-en-ligne/Agenda/Archifete;IM011;Petit Couronne;;;;;76650;76497;49.3807622557;1.03422612047;;2020.0;6.0;Juin;16/06/2018;17/06/2018;;;
CANAL EN SCÈNE;Pays de la Loire;Musiques actuelles;44;;www.artnonyme.jimdo.com;LD010;BLAIN;;;;;44130;44015;47.4628210409;-1.76789479614;;2020.0;6.0;Juin;09/06/2018;09/06/2018;;;
